Species,Official gene symbol,Product type,Product description,UI
Mus musculus,RAN,protein-coding gene,"RAN, member RAS oncogene family",0.498
Mus musculus,HMGN1,protein-coding gene,high mobility group nucleosome binding domain 1,0.497
Mus musculus,PSMA2,protein-coding gene,proteasome subunit alpha 2,0.496
Mus musculus,JUND,protein-coding gene,"JunD proto-oncogene, AP-1 transcription factor subunit",0.495
Mus musculus,YWHAB,protein-coding gene,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta,0.495
Mus musculus,COX7A2L,protein-coding gene,cytochrome c oxidase subunit 7A2 like,0.494
Mus musculus,NPC2,protein-coding gene,NPC intracellular cholesterol transporter 2,0.494
Mus musculus,PSAP,protein-coding gene,prosaposin,0.494
Mus musculus,SPCS2,protein-coding gene,signal peptidase complex subunit 2,0.494
Mus musculus,TIMM13,protein-coding gene,translocase of inner mitochondrial membrane 13,0.494
Mus musculus,PSMA3,protein-coding gene,proteasome subunit alpha 3,0.493
Mus musculus,RANBP1,protein-coding gene,RAN binding protein 1,0.49
Mus musculus,CAPZB,protein-coding gene,capping actin protein of muscle Z-line subunit beta,0.489
Mus musculus,NME1,protein-coding gene,NME/NM23 nucleoside diphosphate kinase 1,0.489
Mus musculus,TECR,protein-coding gene,"trans-2,3-enoyl-CoA reductase",0.489
Mus musculus,RP23-465K20.11,,,0.488
Mus musculus,AC122438.1,,,0.486
Mus musculus,NDUFA3,protein-coding gene,NADH:ubiquinone oxidoreductase subunit A3,0.486
Mus musculus,ANP32A,protein-coding gene,acidic nuclear phosphoprotein 32 family member A,0.485
Mus musculus,DNAJA1,protein-coding gene,DnaJ heat shock protein family (Hsp40) member A1,0.485
Mus musculus,SNRPB,protein-coding gene,small nuclear ribonucleoprotein polypeptides B and B1,0.484
Mus musculus,RPL29,protein-coding gene,ribosomal protein L29,0.483
Mus musculus,MDH2,protein-coding gene,malate dehydrogenase 2,0.482
Mus musculus,RPL23A-PS3,,,0.482
Mus musculus,SNRPD2,protein-coding gene,small nuclear ribonucleoprotein D2 polypeptide,0.481
Mus musculus,FIS1,protein-coding gene,"fission, mitochondrial 1",0.479
Mus musculus,NDUFA11,protein-coding gene,NADH:ubiquinone oxidoreductase subunit A11,0.479
Mus musculus,ARPC3,protein-coding gene,actin related protein 2/3 complex subunit 3,0.478
Mus musculus,ZFP706,protein coding gene,zinc finger protein 706,0.477
Mus musculus,RAB2A,protein-coding gene,"RAB2A, member RAS oncogene family",0.476
Mus musculus,YWHAQ,protein-coding gene,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta,0.476
Mus musculus,NOP10,protein-coding gene,NOP10 ribonucleoprotein,0.474
Mus musculus,NDUFA5,protein-coding gene,NADH:ubiquinone oxidoreductase subunit A5,0.472
Mus musculus,PRKAR1A,protein-coding gene,protein kinase cAMP-dependent type I regulatory subunit alpha,0.472
Mus musculus,SPCS1,protein-coding gene,signal peptidase complex subunit 1,0.472
Mus musculus,SF3B1,protein-coding gene,splicing factor 3b subunit 1,0.471
Mus musculus,RPSA-PS10,,,0.47
Mus musculus,ARPC5,protein-coding gene,actin related protein 2/3 complex subunit 5,0.469
Mus musculus,NDUFV3,protein-coding gene,NADH:ubiquinone oxidoreductase subunit V3,0.469
Mus musculus,PSMB3,protein-coding gene,proteasome subunit beta 3,0.469
Mus musculus,SUMO1,protein-coding gene,small ubiquitin-like modifier 1,0.469
